product_concept_key,product_name,core_family,product_form,sku_count,scent_identity_status,scent_identity_values,note_status,note_values,scent_profile_status,scent_profile_values,function_status,function_values,function_evidence_fields,scene_status,scene_values,scene_evidence_fields,user_need_status,user_need_values,user_need_evidence_fields,care_status,care_values,care_evidence_fields,inspiration_status,inspiration_evidence_fields,material_status,material_values,material_evidence_fields,craft_status,craft_evidence_fields,compatibility_status,evidence_field_count,evidence_fields,direct_semantic_dimension_count,manual_review_flags,source_url
CANDLEAB::迷你香氛蜡烛琥珀,迷你香氛蜡烛-琥珀,家居香氛,迷你香氛蜡烛,1,direct,琥珀,none,,direct,木质香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,3,care_instruction_not_product_function,https://www.diptyque-cn.com/p/ambre-amber-small-candle.html
CANDLEAB::香氛蜡烛琥珀,香氛蜡烛-琥珀,家居香氛,经典香氛蜡烛,1,direct,琥珀,none,,direct,木质香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,3,care_instruction_not_product_function,https://www.diptyque-cn.com/p/ambre-amber-candle-remavp.html
CANDLEABA2::中号香氛蜡烛琥珀,中号香氛蜡烛-琥珀,家居香氛,中号香氛蜡烛,1,direct,琥珀,none,,direct,木质香调,candidate,扩香,,direct,中大型房间,caracteristics_text,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,4,care_instruction_not_product_function,https://www.diptyque-cn.com/p/amber-candle-300-remavp.html
CANDLEAMB1500::超大号香氛蜡烛琥珀,超大号香氛蜡烛-琥珀,家居香氛,超大号香氛蜡烛,1,candidate,琥珀,none,,direct,木质香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function|scent_identity_name_only,https://www.diptyque-cn.com/p/ambre-amber-extralarge-candle.html
CANDLEAU1::香氛蜡烛山楂,香氛蜡烛-山楂,家居香氛,经典香氛蜡烛,1,none,,none,,direct,花香调,direct,留香,pdp_long_description|usage_tips_text,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,3,care_instruction_not_product_function,https://www.diptyque-cn.com/p/hawthorn-candle-remavp.html
CANDLEBAIES::迷你香氛蜡烛浆果香,迷你香氛蜡烛-浆果香,家居香氛,迷你香氛蜡烛,1,direct,浆果香,none,,direct,果香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,3,care_instruction_not_product_function,https://www.diptyque-cn.com/p/baies-berries-small-candle.html
CANDLEBAIES::香氛蜡烛浆果香,香氛蜡烛-浆果香,家居香氛,经典香氛蜡烛,1,direct,浆果香,none,,direct,果香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,3,care_instruction_not_product_function,https://www.diptyque-cn.com/p/berries-candle-190g-remavp.html
CANDLEBAIESB1500::超大号香氛蜡烛浆果香,超大号香氛蜡烛-浆果香,家居香氛,超大号香氛蜡烛,1,direct,浆果香,none,,direct,果香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|首次燃烧,caracteristics_text|usage_tips_text,direct,story_text,none,,,none,,none,5,pdp_short_description|pdp_long_description|usage_tips_text|story_text|caracteristics_text,4,care_instruction_not_product_function,https://www.diptyque-cn.com/p/baies-berries-candle-indoor-outdoor.html
CANDLEBAIESB600::大号香氛蜡烛浆果香,大号香氛蜡烛-浆果香,家居香氛,大号香氛蜡烛,1,direct,浆果香,none,,direct,果香调,candidate,扩香,,direct,中大型房间,caracteristics_text,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,4,care_instruction_not_product_function,https://www.diptyque-cn.com/p/berries-candle-600g.html
CANDLEBAIESBN2::中号香氛蜡烛浆果香,中号香氛蜡烛-浆果香,家居香氛,中号香氛蜡烛,1,direct,浆果香,none,,direct,果香调,candidate,扩香,,direct,中大型房间,caracteristics_text,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,4,care_instruction_not_product_function,https://www.diptyque-cn.com/p/bougie-baie-berries-remavp.html
CANDLEBJ1::香氛蜡烛安息香,香氛蜡烛-安息香,家居香氛,经典香氛蜡烛,1,none,,none,,direct,木质香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/benjoin-candle-1-remavp.html
CANDLEC1::香氛蜡烛肉桂,香氛蜡烛-肉桂,家居香氛,经典香氛蜡烛,1,none,,none,,direct,辛香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/cinnamon-candle-remavp.html
CANDLECAFE190::香氛蜡烛咖啡,香氛蜡烛-咖啡,家居香氛,经典香氛蜡烛,1,none,,none,,direct,辛香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/cafe190-candle.html
CANDLECI190V4::香氛蜡烛柠檬草,香氛蜡烛-柠檬草,家居香氛,经典香氛蜡烛,1,none,,none,,direct,草本香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/ci190v4-candle-190g-1.html
CANDLECN1::香氛蜡烛橡木,香氛蜡烛-橡木,家居香氛,经典香氛蜡烛,1,none,,none,,direct,木质香调,candidate,扩香,,none,,,none,,,direct,修剪烛芯|控制燃烧时长|无人照看警示|首次燃烧,caracteristics_text|usage_tips_text,none,,none,,,none,,none,4,pdp_short_description|pdp_long_description|usage_tips_text|caracteristics_text,2,care_instruction_not_product_function,https://www.diptyque-cn.com/p/chene-oak-tree-candle-remavp.html
